Grade,Year,County,Count
Grades Pre-K,2010,Total,29377
Grades K-5,2010,Total,374471
Grades 6-8,2010,Total,184068
Grades 9-12,2010,Total,264055
Grades Pre-K,2011,Total,28850
Grades K-5,2011,Total,380653
Grades 6-8,2011,Total,184459
Grades 9-12,2011,Total,259816
Grades Pre-K,2012,Total,29671
Grades K-5,2012,Total,388944
Grades 6-8,2012,Total,183902
Grades 9-12,2012,Total,256735
Grades Pre-K,2013,Total,29811
Grades K-5,2013,Total,395542
Grades 6-8,2013,Total,186971
Grades 9-12,2013,Total,253444
Grades Pre-K,2014,Total,30385
Grades K-5,2014,Total,400529
Grades 6-8,2014,Total,189304
Grades 9-12,2014,Total,253891
Grades Pre-K,2015,Total,31034
Grades K-5,2015,Total,402788
Grades 6-8,2015,Total,192483
Grades 9-12,2015,Total,252895
Grades Pre-K,2016,Total,30946
Grades K-5,2016,Total,404866
Grades 6-8,2016,Total,194423
Grades 9-12,2016,Total,255624
Grades Pre-K,2017,Total,30422
Grades K-5,2017,Total,405367
Grades 6-8,2017,Total,197780
Grades 9-12,2017,Total,259720
Grades Pre-K,2018,Total,30950
Grades K-5,2018,Total,402282
Grades 6-8,2018,Total,201817
Grades 9-12,2018,Total,261392
Grades Pre-K,2019,Total,32203
Grades K-5,2019,Total,402895
Grades 6-8,2019,Total,207776
Grades 9-12,2019,Total,266139
Grades Pre-K,2020,Total,23616
Grades K-5,2020,Total,383772
Grades 6-8,2020,Total,206964
Grades 9-12,2020,Total,267783
Grades Pre-K,2021,Total,27767
Grades K-5,2021,Total,380620
Grades 6-8,2021,Total,201874
Grades 9-12,2021,Total,270813